"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 14:20:49 EET 2023","Mon Dec 25 14:20:51 EET 2023","2477","chromium","tests/usePageObjects.spec.ts","","","","Parametrized method",""
"passed","Mon Dec 25 14:20:44 EET 2023","Mon Dec 25 14:20:49 EET 2023","4456","chromium","tests/usePageObjects.spec.ts","","","","Navigate to form page",""
"passed","Mon Dec 25 14:20:51 EET 2023","Mon Dec 25 14:20:54 EET 2023","2584","chromium","tests/usePageObjects.spec.ts","","","","Date Picker Page Object",""
